race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
202006010901,1,6,11,2017101162,牝3,54,05575,1:13.1,,**,2-2,37.9,1.7,1,460(+2),,01112,302031
202006010901,2,8,15,2017103291,牝3,54,00641,1:13.7,3.1/2,**,7-6,38.0,4.3,2,426(-6),,01163,854800
202006010901,3,7,13,2017103186,牝3,54,00726,1:13.9,1,**,3-3,38.6,23.9,6,468(+10),,01024,629800
202006010901,4,6,12,2017102344,牝3,54,01127,1:13.9,アタマ,**,11-11,37.8,48.7,10,486(+2),,00420,728033
202006010901,5,1,2,2017106573,牝3,54,01092,1:14.0,1/2,**,1-1,38.9,7.0,3,464(+12),,01051,003060
202006010901,6,3,5,2017105149,牝3,53,01158,1:14.1,クビ,**,6-6,38.5,45.9,9,456(+6),,01068,016008
202006010901,7,2,3,2017100149,牝3,54,01118,1:14.2,1/2,**,4-3,38.7,111.3,13,422(+2),,01165,760008
202006010901,8,3,6,2017100280,牝3,54,00733,1:14.2,クビ,**,9-6,38.4,149.6,14,394(-2),,01112,059803
202006010901,9,8,16,2017101119,牝3,54,01043,1:14.4,1.1/4,**,7-6,38.7,21.5,5,488(0),,01153,553800
202006010901,10,7,14,2017103154,牝3,54,01029,1:14.6,1.1/4,**,4-3,39.2,28.1,8,418(0),,01030,149033
202006010901,11,4,7,2017106239,牝3,54,05517,1:15.1,3,**,9-10,39.3,64.0,11,480(+4),,01150,316803
202006010901,12,2,4,2017103759,牝3,54,01162,1:15.2,3/4,**,15-13,38.7,365.3,15,492(+10),,01141,535033
202006010901,13,4,8,2017101926,牝3,54,01150,1:15.3,クビ,**,13-13,38.9,71.4,12,460(+8),,01020,546800
202006010901,14,5,9,2017106017,牝3,54,01096,1:15.4,3/4,**,11-12,39.4,14.8,4,434(+10),,01100,607033
202006010901,15,5,10,2017100973,牝3,54,00422,1:16.7,8,**,13-13,40.4,27.4,7,438(0),,01035,855030
202006010901,除,1,1,2017101067,牝3,52,01167,,,**,,,---,,424(-2),,01023,382004
202006010902,1,6,7,2017100918,牡3,55,01158,1:56.6,,**,2-2-2-2,40.2,18.3,8,504(0),,01152,132800
202006010902,2,5,6,2017101972,牡3,56,01092,1:56.6,クビ,**,1-1-1-1,40.3,8.8,6,528(-2),,01051,716800
202006010902,3,5,5,2017104818,牡3,56,00684,1:56.7,クビ,**,6-7-6-5,39.5,12.0,7,472(-2),,01127,338007
202006010902,4,4,4,2017105978,牡3,56,01096,1:57.0,2,**,6-5-6-8,39.9,37.0,9,444(0),,01027,013803
202006010902,5,2,2,2017103018,牡3,56,01075,1:57.4,2.1/2,**,9-8-9-5,40.1,7.8,5,494(-6),,00405,842033
202006010902,6,6,8,2017101877,牡3,56,01085,1:58.1,4,**,3-3-3-3,41.4,4.2,1,496(+2),,00412,546800
202006010902,7,8,12,2017101182,牡3,56,01162,1:58.1,ハナ,**,5-5-4-3,41.1,4.3,3,480(+2),,01106,209800
202006010902,8,7,9,2017104425,牡3,56,00422,1:58.2,3/4,**,8-8-6-8,41.0,7.5,4,518(0),,01174,270006
